Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,4.7u,C23733
"C3, C4",0402,2,0.1u,C307331
D1,0603,1,RED LED,C2286
"D2, D4",0603,2,GREEN LED,C7496818
"D3, D5",0603,2,YELLOW LED,C965800
J1,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
J2,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
"J3, J4",JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,2,Conn_01x03_Pin,
"R1, R10, R9",0402,3,0R(NC),C17168
"R11, R12, R5, R6, R7, R8",0402,6,100R,C25076
"R13, R14, R15, R16, R3",0402,5,470R,C25117
"R17, R18, R19",0402,3,4.7k,C25900
R2,0402,1,0R,C17168
U1,pro_micro_rp2040,1,~,
"U2, U3",SOT-23-5,2,74AUP1G17,C48946883
