Designator,Mid X,Mid Y,Rotation,Layer
C1,86.334,-46.044,180.0,top
C2,86.08,-50.108,90.0,top
C3,78.46,-60.649,90.0,top
C4,78.46,-64.459,90.0,top
D1,70.5,-41.0,0.0,top
D2,70.586,-71.698,0.0,top
D3,70.586,-69.158,0.0,top
D4,91.414,-71.698,180.0,top
D5,91.414,-69.158,180.0,top
J3,74.0,-78.5,180.0,top
J4,88.0,-78.5,180.0,top
R11,77.063,-61.538,270.0,top
R12,81.0,-66.618,270.0,top
R13,75.92,-66.618,90.0,top
R14,78.46,-66.618,90.0,top
R15,83.54,-69.158,270.0,top
R16,86.08,-69.158,270.0,top
R17,86.842,-42.488,270.0,top
R18,85.826,-42.488,270.0,top
R19,86.08,-53.918,270.0,top
R2,85.826,-44.52,90.0,top
R3,75.92,-53.918,270.0,top
R5,75.92,-58.998,270.0,top
R6,75.92,-64.078,90.0,top
R7,78.46,-69.158,90.0,top
R8,81.0,-69.158,90.0,top
U1,81.0,-56.458,0.0,top
U2,81.0,-60.141,0.0,top
U3,81.0,-63.951,0.0,top
